reference,name,link,n_value_strings,chars_raw,chars_clean,has_percent_markup,has_dollar_markup,has_amp_markup
60713,BARTHOLOMAEUS de Mantua,/individus/60713-bartholomaeusdemantua,15,393,385,1,1,0
59156,BERNARDUS Bonet,/individus/59156-bernardusbonet,11,283,275,1,1,0
1390,BERNARDUS Saynerii,/individus/1390-bernardussaynerii,15,426,416,1,1,0
1330,BERARDUS de Got,/individus/1330-berardusdegot,23,709,679,1,1,0
13183,BERNARDUS Pagosina,/individus/13183-bernarduspagosina,26,801,773,1,1,1
51857,BERNARDUS de Rupella,/individus/51857-bernardusderupella,14,630,615,1,1,1
1157,BALDUINUS Gherardi de Eghe,/individus/1157-balduinusgherardideeghe,19,448,422,1,1,0
1377,BERNARDUS Laffarden,/individus/1377-bernarduslaffarden,11,331,320,1,1,0
60254,BERNARDUS Schinkel,/individus/60254-bernardusschinkel,19,488,466,1,1,1
1496,BERTRANDUS de Cardelhaco 1,/individus/1496-bertrandusdecardelhaco1,15,375,359,1,1,0
52238,BALDUINUS 4,/individus/52238-balduinus4,15,763,739,1,1,1
22163,BALDUINUS de Deinze,/individus/22163-balduinusdedeinze,13,406,398,1,1,1
17543,BERNARDUS Bononiensis,/individus/17543-bernardusbononiensis,48,3323,3273,1,1,1
1193,BARTHOLOMAEUS Faventinus,/individus/1193-bartholomaeusfaventinus,24,1244,1228,1,1,1
1437,BERO de Suecia,/individus/1437-berodesuecia,28,989,939,1,1,1
17221,BARTHOLOMAEUS Anghelberti,/individus/17221-bartholomaeusanghelberti,10,470,461,1,1,1
19473,BENEDICTUS Steyner,/individus/19473-benedictussteyner,12,531,521,1,1,1
19713,BERNARDUS Dalli,/individus/19713-bernardusdalli,10,428,422,1,1,0
15739,BALDUINUS Percoul,/individus/15739-balduinuspercoul,16,515,499,1,1,0
1302,BERNARDUS Andreae,/individus/1302-bernardusandreae,16,450,436,1,1,0
22150,BOSO 2,/individus/22150-boso2,16,515,497,1,1,1
17420,BALDUINUS Vassoris,/individus/17420-balduinusvassoris,13,329,319,1,1,0
26260,BONMUNDUS,/individus/26260-bonmundus,13,602,590,1,1,1
1223,BARTHOLOMAEUS Persona,/individus/1223-bartholomaeuspersona,15,543,532,1,1,1
17298,BENEDICTUS 4,/individus/17298-benedictus4,13,370,358,1,1,1
21438,BERO Longus,/individus/21438-berolongus,27,1240,1184,1,1,1
1229,BARTHOLOMAEUS Delft,/individus/1229-bartholomaeusdelft,17,470,454,1,1,0
60719,BARTHOLOMAEUS de Wanquetin,/individus/60719-bartholomaeusdewanquetin,23,732,700,1,1,0
1552,BONSEMBLANS Baduario de Peraga,/individus/1552-bonsemblansbaduariodeperaga,44,1482,1448,1,1,1
54496,BERNARDUS Ducis,/individus/54496-bernardusducis,20,472,448,1,1,0
